Job running on tron01.umiacs.umd.edu
4018
3200
Resumed from epoch 500
Epoch [711/2000], Loss: 0.0276, LR: 0.000142
Epoch [712/2000], Loss: 0.0270, LR: 0.000142
Epoch [713/2000], Loss: 0.0278, LR: 0.000143
Epoch [714/2000], Loss: 0.0250, LR: 0.000143
Epoch [715/2000], Loss: 0.0264, LR: 0.000143
Epoch [716/2000], Loss: 0.0269, LR: 0.000143
Epoch [717/2000], Loss: 0.0274, LR: 0.000143
Epoch [718/2000], Loss: 0.0275, LR: 0.000144
Epoch [719/2000], Loss: 0.0256, LR: 0.000144
Epoch [720/2000], Loss: 0.0265, LR: 0.000144
Epoch [721/2000], Loss: 0.0270, LR: 0.000144
Epoch [722/2000], Loss: 0.0277, LR: 0.000144
Epoch [723/2000], Loss: 0.0261, LR: 0.000145
Epoch [724/2000], Loss: 0.0278, LR: 0.000145
Epoch [725/2000], Loss: 0.0277, LR: 0.000145
Epoch [726/2000], Loss: 0.0265, LR: 0.000145
Epoch [727/2000], Loss: 0.0274, LR: 0.000145
Epoch [728/2000], Loss: 0.0276, LR: 0.000146
Epoch [729/2000], Loss: 0.0272, LR: 0.000146
Epoch [730/2000], Loss: 0.0307, LR: 0.000146
Epoch [731/2000], Loss: 0.0270, LR: 0.000146
Epoch [732/2000], Loss: 0.0279, LR: 0.000146
Epoch [733/2000], Loss: 0.0267, LR: 0.000147
Epoch [734/2000], Loss: 0.0259, LR: 0.000147
Epoch [735/2000], Loss: 0.0244, LR: 0.000147
Epoch [736/2000], Loss: 0.0263, LR: 0.000147
Epoch [737/2000], Loss: 0.0254, LR: 0.000147
Epoch [738/2000], Loss: 0.0277, LR: 0.000148
Epoch [739/2000], Loss: 0.0272, LR: 0.000148
Epoch [740/2000], Loss: 0.0254, LR: 0.000148
Epoch [741/2000], Loss: 0.0249, LR: 0.000148
Epoch [742/2000], Loss: 0.0261, LR: 0.000148
Epoch [743/2000], Loss: 0.0254, LR: 0.000149
Epoch [744/2000], Loss: 0.0255, LR: 0.000149
Epoch [745/2000], Loss: 0.0281, LR: 0.000149
Epoch [746/2000], Loss: 0.0251, LR: 0.000149
Epoch [747/2000], Loss: 0.0271, LR: 0.000149
Epoch [748/2000], Loss: 0.0260, LR: 0.000150
Epoch [749/2000], Loss: 0.0248, LR: 0.000150
Epoch [750/2000], Loss: 0.0252, LR: 0.000150
Epoch [751/2000], Loss: 0.0257, LR: 0.000150
Epoch [752/2000], Loss: 0.0286, LR: 0.000150
Epoch [753/2000], Loss: 0.0255, LR: 0.000151
Epoch [754/2000], Loss: 0.0263, LR: 0.000151
Epoch [755/2000], Loss: 0.0259, LR: 0.000151
Epoch [756/2000], Loss: 0.0262, LR: 0.000151
Epoch [757/2000], Loss: 0.0268, LR: 0.000151
Epoch [758/2000], Loss: 0.0257, LR: 0.000152
Epoch [759/2000], Loss: 0.0251, LR: 0.000152
Epoch [760/2000], Loss: 0.0261, LR: 0.000152
Epoch [761/2000], Loss: 0.0280, LR: 0.000152
Epoch [762/2000], Loss: 0.0272, LR: 0.000152
Epoch [763/2000], Loss: 0.0255, LR: 0.000153
Epoch [764/2000], Loss: 0.0273, LR: 0.000153
Epoch [765/2000], Loss: 0.0258, LR: 0.000153
Epoch [766/2000], Loss: 0.0258, LR: 0.000153
Epoch [767/2000], Loss: 0.0257, LR: 0.000153
Epoch [768/2000], Loss: 0.0262, LR: 0.000154
Epoch [769/2000], Loss: 0.0247, LR: 0.000154
Epoch [770/2000], Loss: 0.0256, LR: 0.000154
Epoch [771/2000], Loss: 0.0291, LR: 0.000154
Epoch [772/2000], Loss: 0.0254, LR: 0.000154
